point,elevation,UTMx,UTMy,canyon,range
AL14,2285.1,544647,4347369,Allison,Monitor
AL15,2325.2,545072,4348363,Allison,Monitor
AL16,2394.3,545895,4349257,Allison,Monitor
AL17,2487.1,547012,4351091,Allison,Monitor
AL18,2397.5,547741,4351223,Allison,Monitor
AL19,2279.7,548712,4351888,Allison,Monitor
AL20,2227.5,549703,4352135,Allison,Monitor
AL21,2209.2,549951,4352294,Allison,Monitor
AL22,2179.1,550268,4352752,Allison,Monitor
AN01.1,2403.3,508271,4280080,Antone,Toquima
AN01.2,2425.4,507742,4279834,Antone,Toquima
AN01.3,2449.7,507392,4279847,Antone,Toquima
AN02.1,2485.9,506905,4279511,Antone,Toquima
AN02.2,2518.3,506461,4279457,Antone,Toquima
AN03.1,2603.6,505591,4279341,Antone,Toquima
AN03.2,2657.7,505178,4279056,Antone,Toquima
AN04.1,2735.3,504693,4278945,Antone,Toquima
BA01.1,2156.2,457842,4326960,Barrett,Shoshone
BA01.2,2179.6,457435,4327193,Barrett,Shoshone
BA02.1,2263.5,456127,4327497,Barrett,Shoshone
BA02.2,2282.2,455870,4327620,Barrett,Shoshone
BA03.1,2364.4,454833,4327629,Barrett,Shoshone
BA03.2,2395.0,454493,4327634,Barrett,Shoshone
BA04.1,2454.8,453911,4327755,Barrett,Shoshone
BA04.2,2468.0,453813,4327895,Barrett,Shoshone
BA05.1,2517.7,453507.38,4328235.542,Barrett,Shoshone
BA05.2,2553.8,453312.3781,4328348.542,Barrett,Shoshone
BA06.1,2640.3,453038.3754,4328611.544,Barrett,Shoshone
BA06.2,2678.7,452941.3744,4328665.544,Barrett,Shoshone
BE01.1,2166.4,459535,4327971,Becker,Shoshone
BE01.2,2187.9,459363,4328408,Becker,Shoshone
BE02.1,2241.2,459244,4329392,Becker,Shoshone
BE02.2,2248.0,459307,4329527,Becker,Shoshone
BE03.1,2359.3,459789,4330635,Becker,Shoshone
BE03.2,2373.4,459844,4330725,Becker,Shoshone
BI01.1,1966.4,498887,4358987,Birch,Toiyabe
BI01.2,1990.7,498570,4359048,Birch,Toiyabe
BI02.1,2057.8,497584,4359812,Birch,Toiyabe
BI02.2,2104.5,497212,4360036,Birch,Toiyabe
BI03.1,2122.3,497171,4360414,Birch,Toiyabe
BI03.2,2153.2,496976,4360740,Birch,Toiyabe
BI03.3,2157.6,496572,4361012,Birch,Toiyabe
BI04.1,2210.7,496016,4362190,Birch,Toiyabe
BI04.2,2230.7,495899,4362638,Birch,Toiyabe
BI04.3,2324.3,496025,4363900,Birch,Toiyabe
BI05.1,2376.0,496070,4364329,Birch,Toiyabe
BI05.2,2409.9,495912,4364636,Birch,Toiyabe
BI06.1,2483.6,495419,4364918,Birch,Toiyabe
BI06.2,2524.0,495236,4365279,Birch,Toiyabe
BI07.1,2554.8,495466,4365710,Birch,Toiyabe
BI07.2,2586.3,495570,4366063,Birch,Toiyabe
BI0B1,1900.1,499897.756,4358106.774,Birch,Toiyabe
BI0B2,1919.6,499641.7558,4358264.774,Birch,Toiyabe
BI0B3,1928.9,499331.7556,4358457.775,Birch,Toiyabe
BI0B4,1959.9,499076.7563,4358850.776,Birch,Toiyabe
BL01,2249.0,526371,4274731,Barley,Monitor
BL02,2239.7,526460,4275079,Barley,Monitor
BL03,2224.9,526524,4275434,Barley,Monitor
BL04,2241.0,527520,4275949,Barley,Monitor
BL05,2244.9,527839,4276098,Barley,Monitor
BL06,2256.0,528178,4276244,Barley,Monitor
BL07,2258.0,528540,4276183,Barley,Monitor
BL08,2275.5,529291,4276396,Barley,Monitor
BL09,2282.8,529636,4276547,Barley,Monitor
BL10,2308.6,530218,4277084,Barley,Monitor
BL11,2318.2,530677,4277376,Barley,Monitor
BL12,2344.6,531363,4278415,Barley,Monitor
BL13,2358.9,531457,4278622,Barley,Monitor
BL14,2375.6,531603,4278935,Barley,Monitor
BL15,2388.8,531506,4279427,Barley,Monitor
BL16,2397.6,531518,4279788,Barley,Monitor
CBN01,2422.0,546194,4349269,CharnocNorth,Monitor
CBN02,2456.6,546476,4349215,CharnocNorth,Monitor
CBN04,2424.9,546131,4350086,CharnocNorth,Monitor
CBN05,2413.2,546053,4349771,CharnocNorth,Monitor
CBS01,2341.1,545790,4345796,CharnocSouth,Monitor
CBS02,2338.7,545551,4345989,CharnocSouth,Monitor
CBS03,2328.2,545275,4346025,CharnocSouth,Monitor
CBS04,2330.1,545075,4346243,CharnocSouth,Monitor
CBS05,2335.9,544990,4346534,CharnocSouth,Monitor
DE05.1,2640.3,542202,4310091,DobbinEast,Monitor
DE05.2,2614.4,542034,4309778,DobbinEast,Monitor
DE05.3,2546.3,542287,4309074,DobbinEast,Monitor
DE06.1,2485.9,542619,4308317,DobbinEast,Monitor
DE06.2,2436.9,543285,4307564,DobbinEast,Monitor
DE06.3,2375.3,544055,4306636,DobbinEast,Monitor
DE07.1,2334.2,544410,4306641,DobbinEast,Monitor
DE07.2,2278.7,544812,4306347,DobbinEast,Monitor
DE07.3,2282.8,544582,4305903,DobbinEast,Monitor
DW01.1,2258.1,537501,4315491,DobbinWest,Monitor
DW01.2,2310.8,538162,4314128,DobbinWest,Monitor
DW02.1,2356.2,538838,4313180,DobbinWest,Monitor
DW02.2,2394.4,539670,4312535,DobbinWest,Monitor
DW03.1,2415.8,539960,4312319,DobbinWest,Monitor
DW03.2,2438.1,540419,4312155,DobbinWest,Monitor
DW03.3,2479.7,541818,4311882,DobbinWest,Monitor
DW04.1,2567.9,542293,4310862,DobbinWest,Monitor
DW04.2,2611.5,542325,4310390,DobbinWest,Monitor
EH01,2281.5,530390,4271303,Elkhorn,Monitor
EH02,2330.2,530128,4271033,Elkhorn,Monitor
EH03,2327.8,530010,4271331,Elkhorn,Monitor
EH04,2343.5,530210,4271544,Elkhorn,Monitor
GS01,2176.8,498567.7953,4370385.805,GrassSprings,Toiyabe
GS02,2134.7,498765.7963,4370377.805,GrassSprings,Toiyabe
GS03,2086.3,499375.7992,4370359.803,GrassSprings,Toiyabe
GS04,2081.2,499390.7999,4370536.804,GrassSprings,Toiyabe
GS05,2086.0,499164.7991,4370618.804,GrassSprings,Toiyabe
