logger,UTMx,UTMy,canyon,region,lat,long
bi01,499277,4358461,Birch,Central,-117.0083941,39.37562073
bi04,495962,4363954,Birch,Central,-117.0469146,39.42510755
bi03,496694,4360929,Birch,Central,-117.0383951,39.39785325
bi02,497977,4359544,Birch,Central,-117.0234905,39.38537732
wa01,536875,4350099,Wallace,Central,-116.5723432,39.29948702
wa02,540693,4352388,Wallace,Central,-116.5279269,39.31994115
wa03,541350,4352363,Wallace,Central,-116.5203069,39.31968473
mw01,502375,4304031,Moores West,Central,-116.9726167,38.88514065
mw04,508293,4301623,Moores West,Central,-116.9044123,38.86340493
me04,509056,4301721,Moores East,Central,-116.8956164,38.86428053
me03,509922,4302201,Moores East,Central,-116.8856276,38.86859673
me02,511544,4301860,Moores East,Central,-116.8669363,38.86550399
me01,512635,4301182,Moores East,Central,-116.8543733,38.85937916
mw03,507518,4301558,Moores West,Central,-116.9133459,38.86282615
mw02,505980,4301049,Moores West,Central,-116.9310776,38.85825107
la02,278670,4265681,Little Antelope,Western,-119.5384835,38.51201729
la01,279804,4266275,Little Antelope,Western,-119.5256761,38.51764639
vl01,307987,4217787,Virginia Lakes,Western,-119.1894783,38.0874987
vl02,306680,4216800,Virginia Lakes,Western,-119.2041046,38.07833114
vl03,303361,4214776,Virginia Lakes,Western,-119.2413626,38.05938763
vl04,301445,4213676,Virginia Lakes,Western,-119.2628811,38.04906292
pw01,357165,4243302,Powell,Western,-118.6340912,38.32647109
pw04,352054,4246284,Powell,Western,-118.6931653,38.35250511
pw03,354009,4245022,Powell,Western,-118.6705389,38.34145724
pw02,355362,4244321,Powell,Western,-118.6549192,38.3353617
bd01,332702,4244447,Bodie,Western,-118.9140955,38.33255224
bd02,331179,4241191,Bodie,Western,-118.9307332,38.3029389
bd03,331375,4238895,Bodie,Western,-118.9279454,38.28229492
bd04,329491,4237457,Bodie,Western,-118.9491279,38.26898663
la03,277670,4267212,Little Antelope,Western,-119.5504288,38.52555201
la04,276368,4265692,Little Antelope,Western,-119.5648647,38.51154121
cw04,341582,4267578,Cottonwood,Western,-118.8177649,38.54252314
cw03,340972,427549,Cottonwood,Western,-118.4322349,3.866898096
cw02,341221,4277178,Cottonwood,Western,-118.8240921,38.62893004
cw01,343770,4278978,Cottonwood,Western,-118.7952266,38.64559633
wa04,541870,4349326,Wallace,Central,-116.5144638,39.29229465
al04,543998,4347645,Allison,Central,-116.4898977,39.27704239
al03,546433,4349203,Allison,Central,-116.4615606,39.29095369
al02,547861,4351294,Allison,Central,-116.4448533,39.30971682
al01,549275,4352044,Allison,Central,-116.4283979,39.31639528
