trap_number,UTMx,UTMy,long,lat,height,canyon,point_type
VLPH01,301369,4213543,-119.2637097,38.04784848,WILL_VL01,Virginia Lakes,Plant Phenology 
VLPH01,301369,4213543,-119.2637097,38.04784848,WILL_VL02,Virginia Lakes,Plant Phenology 
VLPH01,301396,4213532,-119.2633992,38.04775534,PUTR_VL01,Virginia Lakes,Plant Phenology 
VLPH01,301386,4213536,-119.2635141,38.04778917,POTR_VL01,Virginia Lakes,Plant Phenology 
VLPH02,301386,4213536,-119.2635141,38.04778917,POTR_VL2.5,Virginia Lakes,Plant Phenology 
VLPH01,301386,4213536,-119.2635141,38.04778917,POTR_VL1.5,Virginia Lakes,Plant Phenology 
VLPH01,301386,4213536,-119.2635141,38.04778917,POTR_VL02,Virginia Lakes,Plant Phenology 
VLPH02,303470,4215069,-119.2402015,38.06205004,POTR_VL05,Virginia Lakes,Plant Phenology 
VLPH02,303470,4215069,-119.2402015,38.06205004,POTR_VL06,Virginia Lakes,Plant Phenology 
VLPH02,303470,4215069,-119.2402015,38.06205004,PUTR_VL02,Virginia Lakes,Plant Phenology 
VLPH03,305088,4215909,-119.2220001,38.06996507,POTR_VL07,Virginia Lakes,Plant Phenology 
VLPH03,305088,4215909,-119.2220001,38.06996507,POTR_VL08,Virginia Lakes,Plant Phenology 
VLPH03,305088,4215909,-119.2220001,38.06996507,PUTR_VL03,Virginia Lakes,Plant Phenology 
VLPH03,305088,4215909,-119.2220001,38.06996507,PUTR_VL04,Virginia Lakes,Plant Phenology 
VLPH04,306492,4216537,-119.2061754,38.07592233,WILL_VL03,Virginia Lakes,Plant Phenology 
VLPH04,306492,4216537,-119.2061754,38.07592233,WILL_VL04,Virginia Lakes,Plant Phenology 
VLPH05,307448,4218016,-119.195682,38.08944646,POTR_VL07,Virginia Lakes,Plant Phenology 
VLPH05,307448,4218016,-119.195682,38.08944646,POTR_VL08,Virginia Lakes,Plant Phenology 
VLPH05,307448,4218016,-119.195682,38.08944646,WILL_VL05,Virginia Lakes,Plant Phenology 
VLPH05,307448,4218016,-119.195682,38.08944646,WILL_VL06,Virginia Lakes,Plant Phenology 
VLPH05,307448,4218016,-119.195682,38.08944646,PUTR_VL06,Virginia Lakes,Plant Phenology 
VLPH05,307448,4218016,-119.195682,38.08944646,PUTR_VL07,Virginia Lakes,Plant Phenology 
VLPH06,308014,4217854,-119.1891886,38.08810785,POTR_VL09,Virginia Lakes,Plant Phenology 
VLPH06,308014,4217854,-119.1891886,38.08810785,POTR_VL10,Virginia Lakes,Plant Phenology 
VLPH06,308014,4217854,-119.1891886,38.08810785,PUTR_VL08,Virginia Lakes,Plant Phenology 
VLPH06,308014,4217854,-119.1891886,38.08810785,PUTR_VL09,Virginia Lakes,Plant Phenology 
VLPH07,308157,4217776,-119.1875382,38.08743573,WILL_VL07,Virginia Lakes,Plant Phenology 
VLPH07,308157,4217776,-119.1875382,38.08743573,WILL_VL08,Virginia Lakes,Plant Phenology 
LAPH01,282028,4267963,-119.5007154,38.53339155,WILL_LA01.5,Little Antelope ,Plant Phenology 
LAPH01.5,282028,4267963,-119.5007154,38.53339155,WILL_LA01,Little Antelope ,Plant Phenology 
LAPH01.5,282028,4267963,-119.5007154,38.53339155,WILL_LA02,Little Antelope ,Plant Phenology 
LAPH01,282028,4267963,-119.5007154,38.53339155,WILL_LA02.5,Little Antelope ,Plant Phenology 
LAPH02,279769,4266312,-119.5260888,38.51797086,PUTR_LA04,Little Antelope ,Plant Phenology 
LAPH02,279769,4266312,-119.5260888,38.51797086,PUTR_LA03,Little Antelope ,Plant Phenology 
LAPH02,279719,4266285,-119.5266533,38.5177154,POTR_LA04,Little Antelope ,Plant Phenology 
LAPH03,279276,4265897,-119.5316075,38.51411241,PUTR_LA02,Little Antelope ,Plant Phenology 
LAPH04,278749,4265585,-119.5375479,38.51117261,BITC_LA01,Little Antelope ,Plant Phenology 
LAPH04,278749,4265585,-119.5375479,38.51117261,BITC_LA02,Little Antelope ,Plant Phenology 
LAPH05,278388,4266272,-119.541902,38.51726806,PUTR_LA01,Little Antelope ,Plant Phenology 
LAPH06,277961,4267503,-119.5471861,38.52824457,POTR_LA01,Little Antelope ,Plant Phenology 
LAPH06,277961,4267503,-119.5471861,38.52824457,POTR_LA02,Little Antelope ,Plant Phenology 
LAPH06,277961,4267503,-119.5471861,38.52824457,PUTR_LA06,Little Antelope ,Plant Phenology 
LAPH09,277076,4266981,-119.5571629,38.52332373,PUTR_LA04,Little Antelope ,Plant Phenology 
LAPH09,277076,4266981,-119.5571629,38.52332373,PUTR_LA05,Little Antelope ,Plant Phenology 
LAPH08,277099,4266262,-119.5566702,38.51685625,POTR_LA05,Little Antelope ,Plant Phenology 
LAPH08,277099,4266262,-119.5566702,38.51685625,POTR_LA06,Little Antelope ,Plant Phenology 
LAPH08,277099,4266262,-119.5566702,38.51685625,PUTR_LA07,Little Antelope ,Plant Phenology 
LAPH08,277099,4266262,-119.5566702,38.51685625,PUTR_LA08,Little Antelope ,Plant Phenology 
LAPH07,277673,4267239,-119.550403,38.52579585,POTR_LA07,Little Antelope ,Plant Phenology 
LAPH07,277673,4267239,-119.550403,38.52579585,POTR_LA08,Little Antelope ,Plant Phenology 
LAPH07,277673,4267239,-119.550403,38.52579585,PUTR_LA07,Little Antelope ,Plant Phenology 
LAPH07,277673,4267239,-119.550403,38.52579585,PUTR_LA08,Little Antelope ,Plant Phenology 
BDPH01,332714,4244523,-118.9139763,38.33323904,WILL_BD01,Bodie,Plant Phenology 
BDPH03,331186,4241220,-118.9306601,38.30320142,PUTR_BD01,Bodie,Plant Phenology 
BDPH03,331186,4241220,-118.9306601,38.30320142,PUTR_BD02,Bodie,Plant Phenology 
BDPH03,331186,4241220,-118.9306601,38.30320142,WILL_BD02,Bodie,Plant Phenology 
BDPH04,331281,4239303,-118.9291168,38.28595226,POTR_BD02,Bodie,Plant Phenology 
BDPH03,329436,4237463,-118.9497577,38.26903023,PUTR_BD3.5,Bodie,Plant Phenology 
BDPH03,329436,4237463,-118.9497577,38.26903023,PUTR_BD03,Bodie,Plant Phenology 
BDPH03,329436,4237463,-118.9497577,38.26903023,PUTR_BD04,Bodie,Plant Phenology 
BDPH01,329315,4237422,-118.9511303,38.26863794,POTR_BD03,Bodie,Plant Phenology 
BDPH01,329315,4237422,-118.9511303,38.26863794,POTR_BD04,Bodie,Plant Phenology 
BDPH04,330286,4237629,-118.9400861,38.27068647,WILL_BD08,Bodie,Plant Phenology 
BDPH04,330286,4237629,-118.9400861,38.27068647,WILL_BD09,Bodie,Plant Phenology 
BDPH04,330286,4237629,-118.9400861,38.27068647,PUTR_BD08,Bodie,Plant Phenology 
BDPH05,330286,4237629,-118.9400861,38.27068647,PUTR_BD09,Bodie,Plant Phenology 
BDPH02,329373,4237346,-118.9504493,38.26796441,WILL_BD03,Bodie,Plant Phenology 
CWPH01,341378,4268001,-118.8202006,38.54629695,WILL_CW01,Cottonwood,Plant Phenology 
CWPH02,341369,4268331,-118.8203788,38.54926782,POTR_CW01,Cottonwood,Plant Phenology 
CWPH02,341369,4268331,-118.8203788,38.54926782,POTR_CW02,Cottonwood,Plant Phenology 
CWPH03,341107,4271631,-118.8241355,38.57894564,POTR_CW03,Cottonwood,Plant Phenology 
CWPH03,341107,4271631,-118.8241355,38.57894564,POTR_CW04,Cottonwood,Plant Phenology 
CWPH04,340676,4272915,-118.8293746,38.59043393,PUTR_CW01,Cottonwood,Plant Phenology 
CWPH04,340676,4272915,-118.8293746,38.59043393,PUTR_CW02,Cottonwood,Plant Phenology 
