"","POINT","POINT.ELEVATION","X","POINT_YEAR","RANGE","CANYON","YEAR","VISIT","AMCR","AMGO","AMKE","AMRO","ANHU","ASFL","ATFL","BARS","BBMA","BCHU","BCNH","BEWR","BGGN","BHCO","BHGR","BRBL","BRCR","BRSP","BTAH","BTSP","BTYW","BUOR","BUOW","BUSH","CAFI","CANW","CEDW","CHSP","CHUK","CLNU","CLSW","COFL","COHA","COHU","CONI","COPO","CORA","COYE","DEJU","DOWO","DUFL","DUGR","EUCD","EUST","FLOW","FOSP","GHOW","GOEA","GRFL","GRSG","GRVI","GTTO","HAWO","HETH","HOFI","HOLA","HOWR","INBU","JUTI","KILL","LASP","LAZB","LEGO","LEWO","LISP","LOSH","MALL","MGWA","MOBL","MOCH","MODO","NOFL","NOGO","NOHA","NOMO","NOPA","NRWS","OCWA","OSFL","PIJA","PISI","PLVI","PRFA","PUFI","RBGR","RBNU","RCKI","RECR","RNSA","RNSA.1","ROWR","RRSH","RTHA","RWBL","SAGS","SAPH","SATH","SCOR","SEOW","SOSP","SPSA","SPTO","SSHA","SWTH","TOSO","TRES","TUVU","VESP","VGSW","VIWA","WAVI","WAVI.1","WBNU","WCSP","WEKI","WEME","WESJ","WETA","WEWP","WIWA","WTSW","YBCH","YEWA","YRWA","AMCO","BEKI","BLBW","CAHU","CAQU","CATE","CAVI","ECDO","EMPI","GCKI","GCRF","GWTE","MOUQ","NAWA","NSWO","PAWR","PIGR","PSFL","PYNU","RBSA","SAVS","SJTA","SOGR","STJA","TOWA","TRSW","VIRA","WEFL","WHWO","WISA","WISN","WSOW"
"1","BD01",-1.36810714982227,9985,"BD01_2012","Wassuk","Bodie",-1.17192633872368,"1",0,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,1,0,0,0,0,0,0,NA,NA,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BD01",-1.36810714982227,9986,"BD01_2012","Wassuk","Bodie",-1.17192633872368,"2",0,NA,0,1,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","BD01",-1.36810714982227,9987,"BD01_2012","Wassuk","Bodie",-1.17192633872368,"3",0,NA,0,2,NA,NA,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,1,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,1,0,NA,0,0,NA,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","BD01",-1.36810714982227,9988,"BD01_2013","Wassuk","Bodie",-0.445424165438932,"1",0,NA,0,0,NA,NA,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","BD01",-1.36810714982227,9989,"BD01_2013","Wassuk","Bodie",-0.445424165438932,"3",0,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,1,0,0,0,0,0,NA,NA,0,0,2,0,0,0,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,2,0,NA,0,0,NA,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","BD01",-1.36810714982227,9990,"BD01_2014","Wassuk","Bodie",0.281078007845818,"1",0,NA,0,0,NA,NA,1,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","BD01",-1.36810714982227,9991,"BD01_2014","Wassuk","Bodie",0.281078007845818,"2",0,NA,0,0,NA,NA,0,NA,NA,0,0,1,0,0,1,0,0,1,0,0,0,1,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","BD01",-1.36810714982227,9992,"BD01_2014","Wassuk","Bodie",0.281078007845818,"3",0,NA,0,0,NA,NA,0,NA,NA,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,2,0,NA,0,0,NA,0,0,0,1,NA,0,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","BD02",-1.32564376532384,9993,"BD02_2012","Wassuk","Bodie",-1.17192633872368,"1",0,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,1,0,NA,0,0,NA,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","BD02",-1.32564376532384,9994,"BD02_2012","Wassuk","Bodie",-1.17192633872368,"2",0,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,0,NA,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
